Iteration,Queried X/ All X,Queried misclassified samples / All misclassified samples,Detected patterns / All patterns,Pattern 0 (%),Pattern 0 (% Detected),Pattern 1 (%),Pattern 1 (% Detected),Pattern 2 (%),Pattern 2 (% Detected),Pattern 3 (%),Pattern 3 (% Detected),Pattern 4 (%),Pattern 4 (% Detected),Pattern 5 (%),Pattern 5 (% Detected),Pattern 6 (%),Pattern 6 (% Detected),Pattern 7 (%),Pattern 7 (% Detected),Pattern 8 (%),Pattern 8 (% Detected),Pattern 9 (%),Pattern 9 (% Detected),Pattern 10 (%),Pattern 10 (% Detected)
61,0.25548668118612833,0.25893566322478156,0.0,0.3,0.3,1.0,0.2127659574468085,0.1,0.1,0.2,0.14285714285714285,0.0,0.0,0.4,0.2857142857142857,0.7,0.25925925925925924,0.2,0.2,0.5,0.5,0.2,0.2,0.1,0.09090909090909091
62,0.2596749874350813,0.26290706910246225,0.0,0.4,0.4,1.0,0.23404255319148937,0.1,0.1,0.2,0.14285714285714285,0.0,0.0,0.4,0.2857142857142857,0.7,0.25925925925925924,0.2,0.2,0.5,0.5,0.2,0.2,0.1,0.09090909090909091
63,0.26386329368403416,0.2676727561556791,0.0,0.4,0.4,1.0,0.23404255319148937,0.1,0.1,0.2,0.14285714285714285,0.1,0.1,0.4,0.2857142857142857,0.7,0.25925925925925924,0.2,0.2,0.5,0.5,0.2,0.2,0.1,0.09090909090909091
64,0.2680515999329871,0.2716441620333598,0.0,0.4,0.4,1.0,0.2553191489361702,0.1,0.1,0.2,0.14285714285714285,0.1,0.1,0.4,0.2857142857142857,0.7,0.25925925925925924,0.2,0.2,0.5,0.5,0.2,0.2,0.1,0.09090909090909091
65,0.27223990618194005,0.27402700555996823,0.0,0.4,0.4,1.0,0.2553191489361702,0.1,0.1,0.2,0.14285714285714285,0.1,0.1,0.4,0.2857142857142857,0.7,0.25925925925925924,0.2,0.2,0.5,0.5,0.2,0.2,0.1,0.09090909090909091
66,0.27642821243089294,0.2795869737887212,0.0,0.4,0.4,1.0,0.2553191489361702,0.1,0.1,0.2,0.14285714285714285,0.1,0.1,0.4,0.2857142857142857,0.8,0.2962962962962963,0.2,0.2,0.5,0.5,0.2,0.2,0.1,0.09090909090909091
67,0.2806165186798459,0.28435266084193805,0.0,0.4,0.4,1.0,0.2553191489361702,0.1,0.1,0.2,0.14285714285714285,0.1,0.1,0.4,0.2857142857142857,0.8,0.2962962962962963,0.2,0.2,0.5,0.5,0.2,0.2,0.1,0.09090909090909091
68,0.28480482492879877,0.28832406671961874,0.0,0.4,0.4,1.0,0.2553191489361702,0.1,0.1,0.2,0.14285714285714285,0.1,0.1,0.4,0.2857142857142857,0.8,0.2962962962962963,0.2,0.2,0.5,0.5,0.2,0.2,0.1,0.09090909090909091
69,0.2889931311777517,0.2946783161239079,0.0,0.4,0.4,1.0,0.2765957446808511,0.1,0.1,0.2,0.14285714285714285,0.1,0.1,0.4,0.2857142857142857,0.8,0.2962962962962963,0.2,0.2,0.5,0.5,0.2,0.2,0.1,0.09090909090909091
70,0.29318143742670466,0.2962668784749801,0.0,0.4,0.4,1.0,0.2765957446808511,0.1,0.1,0.2,0.14285714285714285,0.1,0.1,0.4,0.2857142857142857,0.8,0.2962962962962963,0.2,0.2,0.5,0.5,0.2,0.2,0.1,0.09090909090909091
71,0.29736974367565755,0.2994440031771247,0.0,0.4,0.4,1.0,0.2765957446808511,0.1,0.1,0.2,0.14285714285714285,0.1,0.1,0.4,0.2857142857142857,0.8,0.2962962962962963,0.2,0.2,0.5,0.5,0.2,0.2,0.1,0.09090909090909091
72,0.3015580499246105,0.3034154090548054,0.0,0.4,0.4,1.0,0.2978723404255319,0.1,0.1,0.2,0.14285714285714285,0.1,0.1,0.4,0.2857142857142857,0.8,0.2962962962962963,0.2,0.2,0.5,0.5,0.2,0.2,0.2,0.18181818181818182
73,0.30574635617356344,0.3073868149324861,0.0,0.4,0.4,1.0,0.3191489361702128,0.1,0.1,0.2,0.14285714285714285,0.1,0.1,0.4,0.2857142857142857,0.8,0.2962962962962963,0.2,0.2,0.5,0.5,0.2,0.2,0.2,0.18181818181818182
74,0.3099346624225163,0.31056393963463064,0.0,0.4,0.4,1.0,0.3191489361702128,0.1,0.1,0.2,0.14285714285714285,0.1,0.1,0.4,0.2857142857142857,0.8,0.2962962962962963,0.2,0.2,0.5,0.5,0.2,0.2,0.2,0.18181818181818182
75,0.31412296867146927,0.3129467831612391,0.0,0.4,0.4,1.0,0.3191489361702128,0.1,0.1,0.2,0.14285714285714285,0.1,0.1,0.4,0.2857142857142857,0.8,0.2962962962962963,0.3,0.3,0.5,0.5,0.2,0.2,0.2,0.18181818181818182
76,0.31831127492042216,0.3169181890389198,0.0,0.4,0.4,1.0,0.3191489361702128,0.1,0.1,0.2,0.14285714285714285,0.1,0.1,0.4,0.2857142857142857,0.8,0.2962962962962963,0.3,0.3,0.5,0.5,0.2,0.2,0.2,0.18181818181818182
77,0.3224995811693751,0.32088959491660046,0.0,0.4,0.4,1.0,0.3191489361702128,0.1,0.1,0.2,0.14285714285714285,0.1,0.1,0.4,0.2857142857142857,0.8,0.2962962962962963,0.3,0.3,0.5,0.5,0.3,0.3,0.2,0.18181818181818182
78,0.32668788741832805,0.32406671961874506,0.0,0.4,0.4,1.0,0.3191489361702128,0.1,0.1,0.2,0.14285714285714285,0.1,0.1,0.4,0.2857142857142857,0.8,0.2962962962962963,0.3,0.3,0.5,0.5,0.3,0.3,0.2,0.18181818181818182
